# stage type: 4275 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
t1	op	t2	=> y
void	^	arr	illegal
void	^	struct	illegal
void	^	fn	illegal
void	^	f32	illegal
void	^	f64	illegal
void	<<	void	illegal
void	<<	i8	illegal
void	<<	i16	illegal
void	<<	i32	illegal
void	<<	i64	illegal
void	<<	u8	illegal
void	<<	u16	illegal
void	<<	u32	illegal
void	<<	u64	illegal
void	<<	ptr	illegal
void	<<	arr	illegal
void	<<	struct	illegal
void	<<	fn	illegal
void	<<	f32	illegal
void	<<	f64	illegal
void	>>	void	illegal
void	>>	i8	illegal
void	>>	i16	illegal
void	>>	i32	illegal
void	>>	i64	illegal
void	>>	u8	illegal
void	>>	u16	illegal
void	>>	u32	illegal
void	>>	u64	illegal
void	>>	ptr	illegal
void	>>	arr	illegal
void	>>	struct	illegal
void	>>	fn	illegal
void	>>	f32	illegal
void	>>	f64	illegal
i8	+	void	illegal
i8	+	i8	i32
i8	+	i16	i32
i8	+	i32	i32
i8	+	i64	i64
i8	+	u8	i32
i8	+	u16	i32
i8	+	u32	u32
i8	+	u64	u64
i8	+	ptr	ptr
i8	+	arr	ptr
i8	+	struct	illegal
i8	+	fn	illegal
i8	+	f32	f32
i8	+	f64	f64
i8	-	void	illegal
i8	-	i8	i32
i8	-	i16	i32
i8	-	i32	i32
i8	-	i64	i64
i8	-	u8	i32
i8	-	u16	i32
i8	-	u32	u32
i8	-	u64	u64
i8	-	ptr	illegal
i8	-	arr	illegal
i8	-	struct	illegal
i8	-	fn	illegal
i8	-	f32	f32
i8	-	f64	f64
i8	*	void	illegal
i8	*	i8	i32
i8	*	i16	i32
i8	*	i32	i32
i8	*	i64	i64
i8	*	u8	i32
i8	*	u16	i32
i8	*	u32	u32
i8	*	u64	u64
i8	*	ptr	illegal
i8	*	arr	illegal
i8	*	struct	illegal
i8	*	fn	illegal
i8	*	f32	f32
i8	*	f64	f64
i8	/	void	illegal
i8	/	i8	i32
i8	/	i16	i32
i8	/	i32	i32
i8	/	i64	i64
i8	/	u8	i32
i8	/	u16	i32
i8	/	u32	u32
i8	/	u64	u64
i8	/	ptr	illegal
i8	/	arr	illegal
i8	/	struct	illegal
i8	/	fn	illegal
i8	/	f32	f32
i8	/	f64	f64
i8	%	void	illegal
i8	%	i8	i32
i8	%	i16	i32
i8	%	i32	i32
i8	%	i64	i64
i8	%	u8	i32
i8	%	u16	i32
i8	%	u32	u32
i8	%	u64	u64
i8	%	ptr	illegal
i8	%	arr	illegal
i8	%	struct	illegal
i8	%	fn	illegal
i8	%	f32	illegal
i8	%	f64	illegal
i8	<	void	i32
i8	<	i8	i32
i8	<	i16	i32
i8	<	i32	i32
i8	<	i64	i32
i8	<	u8	i32
i8	<	u16	i32
i8	<	u32	i32
i8	<	u64	i32
i8	<	ptr	i32
i8	<	arr	i32
i8	<	struct	i32
i8	<	fn	i32
i8	<	f32	i32
i8	<	f64	i32
i8	==	void	i32
i8	==	i8	i32
i8	==	i16	i32
i8	==	i32	i32
i8	==	i64	i32
i8	==	u8	i32
i8	==	u16	i32
i8	==	u32	i32
i8	==	u64	i32
i8	==	ptr	i32
i8	==	arr	i32
i8	==	struct	i32
i8	==	fn	i32
i8	==	f32	i32
i8	==	f64	i32
i8	=	void	i8
i8	=	i8	i8
i8	=	i16	i8
i8	=	i32	i8
i8	=	i64	i8
i8	=	u8	i8
i8	=	u16	i8
i8	=	u32	i8
i8	=	u64	i8
i8	=	ptr	i8
i8	=	arr	i8
i8	=	struct	i8
i8	=	fn	i8
i8	=	f32	i8
i8	=	f64	i8
i8	&	void	illegal
i8	&	i8	i32
i8	&	i16	i32
i8	&	i32	i32
i8	&	i64	i64
i8	&	u8	i32
i8	&	u16	i32
i8	&	u32	u32
i8	&	u64	u64
i8	&	ptr	illegal
i8	&	arr	illegal
i8	&	struct	illegal
i8	&	fn	illegal
i8	&	f32	illegal
i8	&	f64	illegal
i8	[]	void	illegal
i8	[]	i8	illegal
i8	[]	i16	illegal
i8	[]	i32	illegal
i8	[]	i64	illegal
i8	[]	u8	illegal
i8	[]	u16	illegal
i8	[]	u32	illegal
i8	[]	u64	illegal
i8	[]	ptr	illegal
i8	[]	arr	illegal
i8	[]	struct	illegal
i8	[]	fn	illegal
i8	[]	f32	illegal
i8	[]	f64	illegal
i8	.	void	illegal
i8	.	i8	illegal
i8	.	i16	illegal
i8	.	i32	illegal
i8	.	i64	illegal
i8	.	u8	illegal
i8	.	u16	illegal
i8	.	u32	illegal
i8	.	u64	illegal
i8	.	ptr	illegal
i8	.	arr	illegal
i8	.	struct	illegal
i8	.	fn	illegal
i8	.	f32	illegal
i8	.	f64	illegal
i8	call	void	illegal
i8	call	i8	illegal
i8	call	i16	illegal
i8	call	i32	illegal
i8	call	i64	illegal
i8	call	u8	illegal
i8	call	u16	illegal
i8	call	u32	illegal
i8	call	u64	illegal
i8	call	ptr	illegal
i8	call	arr	illegal
i8	call	struct	illegal
i8	call	fn	illegal
i8	call	f32	illegal
i8	call	f64	illegal
i8	sizeof	void	i64
i8	sizeof	i8	i64
i8	sizeof	i16	i64
i8	sizeof	i32	i64
i8	sizeof	i64	i64
i8	sizeof	u8	i64
i8	sizeof	u16	i64
i8	sizeof	u32	i64
i8	sizeof	u64	i64
i8	sizeof	ptr	i64
i8	sizeof	arr	i64
i8	sizeof	struct	i64
i8	sizeof	fn	i64
i8	sizeof	f32	i64
i8	sizeof	f64	i64
i8	,	void	void
i8	,	i8	i8
i8	,	i16	i16
i8	,	i32	i32
i8	,	i64	i64
i8	,	u8	u8
i8	,	u16	u16
i8	,	u32	u32
i8	,	u64	u64
i8	,	ptr	ptr
i8	,	arr	arr
i8	,	struct	struct
i8	,	fn	fn
i8	,	f32	f32
i8	,	f64	f64
i8	un*	void	illegal
i8	un*	i8	illegal
i8	un*	i16	illegal
i8	un*	i32	illegal
i8	un*	i64	illegal
