# stage irsel: 420 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
family	flavor	=> y
lit	gt	bad
lit	ge	bad
lit	eq	bad
lit	ne	bad
lit	neg	bad
lit	and	bad
lit	or	bad
lit	xor	bad
lit	shl	bad
lit	shr	bad
lit	ult	bad
lit	ule	bad
lit	ugt	bad
lit	uge	bad
lit	lshr	bad
lit	div	bad
lit	mod	bad
lit	udiv	bad
lit	umod	bad
lit	load	bad
lit	store	bad
lit	lea	bad
lit	ld	bad
lit	st	bad
lit	zero	bad
lit	jump	bad
lit	jumpz	bad
lit	ret	bad
lit	call	bad
lit	push	bad
lit	arg	bad
lit	frame	bad
lit	callr	bad
lit	imm	imm
lit	print	print
lit	write	write
lit	exit	exit
lit	dadd	bad
lit	dsub	bad
lit	dmul	bad
lit	ddiv	bad
lit	dlt	bad
lit	dle	bad
lit	deq	bad
lit	sadd	bad
lit	ssub	bad
lit	smul	bad
lit	sdiv	bad
lit	slt	bad
lit	sle	bad
lit	seq	bad
lit	i2d	bad
lit	u2d	bad
lit	i2s	bad
lit	u2s	bad
lit	d2i	bad
lit	d2u	bad
lit	s2d	bad
lit	d2s	bad
lit	dsqrt	bad
lit	ssqrt	bad
lit	dgt	bad
lit	dge	bad
lit	sgt	bad
lit	sge	bad
fpu	add	bad
fpu	sub	bad
fpu	mul	bad
fpu	lt	bad
fpu	le	bad
fpu	gt	bad
fpu	ge	bad
fpu	eq	bad
fpu	ne	bad
fpu	neg	bad
fpu	and	bad
fpu	or	bad
fpu	xor	bad
fpu	shl	bad
fpu	shr	bad
fpu	ult	bad
fpu	ule	bad
fpu	ugt	bad
fpu	uge	bad
fpu	lshr	bad
fpu	div	bad
fpu	mod	bad
fpu	udiv	bad
fpu	umod	bad
fpu	load	bad
fpu	store	bad
fpu	lea	bad
fpu	ld	bad
fpu	st	bad
fpu	zero	bad
fpu	jump	bad
fpu	jumpz	bad
fpu	ret	bad
fpu	call	bad
fpu	push	bad
fpu	arg	bad
fpu	frame	bad
fpu	callr	bad
fpu	imm	bad
fpu	print	bad
fpu	write	bad
fpu	exit	bad
fpu	dadd	fadd64
fpu	dsub	fsub64
fpu	dmul	fmul64
fpu	ddiv	fdiv64
fpu	dlt	flt64
fpu	dle	fle64
fpu	deq	feq64
fpu	sadd	fadd32
fpu	ssub	fsub32
fpu	smul	fmul32
fpu	sdiv	fdiv32
fpu	slt	flt32
fpu	sle	fle32
fpu	seq	feq32
fpu	i2d	cvtid
fpu	u2d	cvtud
fpu	i2s	cvtis
fpu	u2s	cvtus
fpu	d2i	cvtdi
fpu	d2u	cvtdu
fpu	s2d	cvtsd
fpu	d2s	cvtds
fpu	dsqrt	fsqrt64
fpu	ssqrt	fsqrt32
fpu	dgt	flt64_rev
fpu	dge	fle64_rev
fpu	sgt	flt32_rev
fpu	sge	fle32_rev
