# stage peep: 1632 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
#field	a	store64	load64	imm	mov	jump	jumpz	alu	other
#field	b	store64	load64	imm	mov	jump	jumpz	add64	sub64	mul64	shl64	shr64	lshr64	or64	xor64	and64	other	none
#field	rel	none	same_slot	same_slot_same_reg	const0	const1	pow2	copy_dead	to_next	to_jump	a_dead	dest_to_mov	copy_into
#head	y	-	keep	load_to_mov	drop_b	drop_a	retarget	to_mov	to_shl	fold_imm	retarget_dest	fold_copy
a	b	rel	=> y
store64	none	dest_to_mov	keep
store64	none	copy_into	keep
load64	store64	none	keep
load64	store64	same_slot	keep
load64	store64	same_slot_same_reg	keep
load64	store64	const0	keep
load64	store64	const1	keep
load64	store64	pow2	keep
load64	store64	copy_dead	keep
load64	store64	to_next	keep
load64	store64	to_jump	keep
load64	store64	a_dead	drop_a
load64	store64	dest_to_mov	keep
load64	store64	copy_into	keep
load64	load64	none	keep
load64	load64	same_slot	keep
load64	load64	same_slot_same_reg	keep
load64	load64	const0	keep
load64	load64	const1	keep
load64	load64	pow2	keep
load64	load64	copy_dead	keep
load64	load64	to_next	keep
load64	load64	to_jump	keep
load64	load64	a_dead	drop_a
load64	load64	dest_to_mov	keep
load64	load64	copy_into	keep
load64	imm	none	keep
load64	imm	same_slot	keep
load64	imm	same_slot_same_reg	keep
load64	imm	const0	keep
load64	imm	const1	keep
load64	imm	pow2	keep
load64	imm	copy_dead	keep
load64	imm	to_next	keep
load64	imm	to_jump	keep
load64	imm	a_dead	drop_a
load64	imm	dest_to_mov	keep
load64	imm	copy_into	keep
load64	mov	none	keep
load64	mov	same_slot	keep
load64	mov	same_slot_same_reg	keep
load64	mov	const0	keep
load64	mov	const1	keep
load64	mov	pow2	keep
load64	mov	copy_dead	keep
load64	mov	to_next	keep
load64	mov	to_jump	keep
load64	mov	a_dead	drop_a
load64	mov	dest_to_mov	retarget_dest
load64	mov	copy_into	keep
load64	jump	none	keep
load64	jump	same_slot	keep
load64	jump	same_slot_same_reg	keep
load64	jump	const0	keep
load64	jump	const1	keep
load64	jump	pow2	keep
load64	jump	copy_dead	keep
load64	jump	to_next	keep
load64	jump	to_jump	keep
load64	jump	a_dead	drop_a
load64	jump	dest_to_mov	keep
load64	jump	copy_into	keep
load64	jumpz	none	keep
load64	jumpz	same_slot	keep
load64	jumpz	same_slot_same_reg	keep
load64	jumpz	const0	keep
load64	jumpz	const1	keep
load64	jumpz	pow2	keep
load64	jumpz	copy_dead	keep
load64	jumpz	to_next	keep
load64	jumpz	to_jump	keep
load64	jumpz	a_dead	drop_a
load64	jumpz	dest_to_mov	keep
load64	jumpz	copy_into	keep
load64	add64	none	keep
load64	add64	same_slot	keep
load64	add64	same_slot_same_reg	keep
load64	add64	const0	keep
load64	add64	const1	keep
load64	add64	pow2	keep
load64	add64	copy_dead	keep
load64	add64	to_next	keep
load64	add64	to_jump	keep
load64	add64	a_dead	drop_a
load64	add64	dest_to_mov	keep
load64	add64	copy_into	keep
load64	sub64	none	keep
load64	sub64	same_slot	keep
load64	sub64	same_slot_same_reg	keep
load64	sub64	const0	keep
load64	sub64	const1	keep
load64	sub64	pow2	keep
load64	sub64	copy_dead	keep
load64	sub64	to_next	keep
load64	sub64	to_jump	keep
load64	sub64	a_dead	drop_a
load64	sub64	dest_to_mov	keep
load64	sub64	copy_into	keep
load64	mul64	none	keep
load64	mul64	same_slot	keep
load64	mul64	same_slot_same_reg	keep
