# stage enc: 438 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
#field	op	exit	read	write	open	close	mmap	munmap	mprotect	getpid	clock_gettime	nanosleep	futex	socket	connect	bind	listen	accept	clone	execve	lseek	unlink	rename	add64	sub64	xor64	mul64	slt64	sle64	load64	store64	jump	jumpz	call	ret	nop	cas64	fence	syscall_gate	tls_base	cycle_counter	stack_enter	and64	or64	shl64	shr64	callr	ult64	ule64	lshr64	fadd64	fsub64	fmul64	fdiv64	flt64	fle64	feq64	fadd32	fsub32	fmul32	fdiv32	flt32	fle32	feq32	cvtid	cvtud	cvtis	cvtus	cvtdi	cvtdu	cvtsd	cvtds	fsqrt64	fsqrt32
#field	os	lnx	osx	win
#field	arch	x86_64	arm64
jumpz	win	arm64	arm
call	lnx	x86_64	x86
call	lnx	arm64	arm
call	osx	x86_64	x86
call	osx	arm64	arm
call	win	x86_64	x86
call	win	arm64	arm
ret	lnx	x86_64	x86
ret	lnx	arm64	arm
ret	osx	x86_64	x86
ret	osx	arm64	arm
ret	win	x86_64	x86
ret	win	arm64	arm
nop	lnx	x86_64	x86
nop	lnx	arm64	arm
nop	osx	x86_64	x86
nop	osx	arm64	arm
nop	win	x86_64	x86
nop	win	arm64	arm
cas64	lnx	x86_64	x86
cas64	lnx	arm64	arm
cas64	osx	x86_64	x86
cas64	osx	arm64	arm
cas64	win	x86_64	x86
cas64	win	arm64	arm
fence	lnx	x86_64	x86
fence	lnx	arm64	arm
fence	osx	x86_64	x86
fence	osx	arm64	arm
fence	win	x86_64	x86
fence	win	arm64	arm
syscall_gate	lnx	x86_64	x86
syscall_gate	lnx	arm64	arm
syscall_gate	osx	x86_64	x86
syscall_gate	osx	arm64	arm
syscall_gate	win	x86_64	x86
syscall_gate	win	arm64	arm
tls_base	lnx	x86_64	x86
tls_base	lnx	arm64	arm
tls_base	osx	x86_64	x86
tls_base	osx	arm64	arm
tls_base	win	x86_64	x86
tls_base	win	arm64	arm
cycle_counter	lnx	x86_64	x86
cycle_counter	lnx	arm64	arm
cycle_counter	osx	x86_64	x86
cycle_counter	osx	arm64	arm
cycle_counter	win	x86_64	x86
cycle_counter	win	arm64	arm
stack_enter	lnx	x86_64	x86
stack_enter	lnx	arm64	arm
stack_enter	osx	x86_64	x86
stack_enter	osx	arm64	arm
stack_enter	win	x86_64	x86
stack_enter	win	arm64	arm
and64	lnx	x86_64	x86
and64	lnx	arm64	arm
and64	osx	x86_64	x86
and64	osx	arm64	arm
and64	win	x86_64	x86
and64	win	arm64	arm
or64	lnx	x86_64	x86
or64	lnx	arm64	arm
or64	osx	x86_64	x86
or64	osx	arm64	arm
or64	win	x86_64	x86
or64	win	arm64	arm
shl64	lnx	x86_64	x86
shl64	lnx	arm64	arm
shl64	osx	x86_64	x86
shl64	osx	arm64	arm
shl64	win	x86_64	x86
shl64	win	arm64	arm
shr64	lnx	x86_64	x86
shr64	lnx	arm64	arm
shr64	osx	x86_64	x86
shr64	osx	arm64	arm
shr64	win	x86_64	x86
shr64	win	arm64	arm
callr	lnx	x86_64	x86
callr	lnx	arm64	arm
callr	osx	x86_64	x86
callr	osx	arm64	arm
callr	win	x86_64	x86
callr	win	arm64	arm
ult64	lnx	x86_64	x86
ult64	lnx	arm64	arm
ult64	osx	x86_64	x86
ult64	osx	arm64	arm
ult64	win	x86_64	x86
ult64	win	arm64	arm
ule64	lnx	x86_64	x86
ule64	lnx	arm64	arm
ule64	osx	x86_64	x86
ule64	osx	arm64	arm
ule64	win	x86_64	x86
ule64	win	arm64	arm
lshr64	lnx	x86_64	x86
lshr64	lnx	arm64	arm
lshr64	osx	x86_64	x86
lshr64	osx	arm64	arm
lshr64	win	x86_64	x86
lshr64	win	arm64	arm
fadd64	lnx	x86_64	x86
fadd64	lnx	arm64	arm
fadd64	osx	x86_64	x86
fadd64	osx	arm64	arm
fadd64	win	x86_64	x86
fadd64	win	arm64	arm
fsub64	lnx	x86_64	x86
fsub64	lnx	arm64	arm
fsub64	osx	x86_64	x86
fsub64	osx	arm64	arm
fsub64	win	x86_64	x86
fsub64	win	arm64	arm
fmul64	lnx	x86_64	x86
fmul64	lnx	arm64	arm
fmul64	osx	x86_64	x86
fmul64	osx	arm64	arm
fmul64	win	x86_64	x86
fmul64	win	arm64	arm
fdiv64	lnx	x86_64	x86
fdiv64	lnx	arm64	arm
fdiv64	osx	x86_64	x86
fdiv64	osx	arm64	arm
fdiv64	win	x86_64	x86
fdiv64	win	arm64	arm
flt64	lnx	x86_64	x86
flt64	lnx	arm64	arm
flt64	osx	x86_64	x86
flt64	osx	arm64	arm
flt64	win	x86_64	x86
flt64	win	arm64	arm
fle64	lnx	x86_64	x86
fle64	lnx	arm64	arm
fle64	osx	x86_64	x86
fle64	osx	arm64	arm
fle64	win	x86_64	x86
fle64	win	arm64	arm
feq64	lnx	x86_64	x86
feq64	lnx	arm64	arm
feq64	osx	x86_64	x86
feq64	osx	arm64	arm
feq64	win	x86_64	x86
feq64	win	arm64	arm
fadd32	lnx	x86_64	x86
fadd32	lnx	arm64	arm
fadd32	osx	x86_64	x86
fadd32	osx	arm64	arm
fadd32	win	x86_64	x86
fadd32	win	arm64	arm
fsub32	lnx	x86_64	x86
fsub32	lnx	arm64	arm
fsub32	osx	x86_64	x86
fsub32	osx	arm64	arm
fsub32	win	x86_64	x86
fsub32	win	arm64	arm
fmul32	lnx	x86_64	x86
fmul32	lnx	arm64	arm
fmul32	osx	x86_64	x86
fmul32	osx	arm64	arm
fmul32	win	x86_64	x86
fmul32	win	arm64	arm
fdiv32	lnx	x86_64	x86
fdiv32	lnx	arm64	arm
fdiv32	osx	x86_64	x86
fdiv32	osx	arm64	arm
fdiv32	win	x86_64	x86
fdiv32	win	arm64	arm
flt32	lnx	x86_64	x86
flt32	lnx	arm64	arm
flt32	osx	x86_64	x86
flt32	osx	arm64	arm
flt32	win	x86_64	x86
flt32	win	arm64	arm
fle32	lnx	x86_64	x86
fle32	lnx	arm64	arm
fle32	osx	x86_64	x86
fle32	osx	arm64	arm
fle32	win	x86_64	x86
fle32	win	arm64	arm
feq32	lnx	x86_64	x86
feq32	lnx	arm64	arm
feq32	osx	x86_64	x86
feq32	osx	arm64	arm
feq32	win	x86_64	x86
feq32	win	arm64	arm
cvtid	lnx	x86_64	x86
cvtid	lnx	arm64	arm
cvtid	osx	x86_64	x86
cvtid	osx	arm64	arm
cvtid	win	x86_64	x86
cvtid	win	arm64	arm
cvtud	lnx	x86_64	x86
cvtud	lnx	arm64	arm
cvtud	osx	x86_64	x86
cvtud	osx	arm64	arm
cvtud	win	x86_64	x86
cvtud	win	arm64	arm
cvtis	lnx	x86_64	x86
cvtis	lnx	arm64	arm
cvtis	osx	x86_64	x86
cvtis	osx	arm64	arm
cvtis	win	x86_64	x86
cvtis	win	arm64	arm
cvtus	lnx	x86_64	x86
cvtus	lnx	arm64	arm
cvtus	osx	x86_64	x86
cvtus	osx	arm64	arm
cvtus	win	x86_64	x86
cvtus	win	arm64	arm
cvtdi	lnx	x86_64	x86
cvtdi	lnx	arm64	arm
cvtdi	osx	x86_64	x86
cvtdi	osx	arm64	arm
cvtdi	win	x86_64	x86
cvtdi	win	arm64	arm
cvtdu	lnx	x86_64	x86
cvtdu	lnx	arm64	arm
cvtdu	osx	x86_64	x86
cvtdu	osx	arm64	arm
cvtdu	win	x86_64	x86
cvtdu	win	arm64	arm
cvtsd	lnx	x86_64	x86
cvtsd	lnx	arm64	arm
cvtsd	osx	x86_64	x86
cvtsd	osx	arm64	arm
cvtsd	win	x86_64	x86
cvtsd	win	arm64	arm
cvtds	lnx	x86_64	x86
cvtds	lnx	arm64	arm
cvtds	osx	x86_64	x86
cvtds	osx	arm64	arm
cvtds	win	x86_64	x86
cvtds	win	arm64	arm
fsqrt64	lnx	x86_64	x86
fsqrt64	lnx	arm64	arm
fsqrt64	osx	x86_64	x86
fsqrt64	osx	arm64	arm
fsqrt64	win	x86_64	x86
fsqrt64	win	arm64	arm
fsqrt32	lnx	x86_64	x86
fsqrt32	lnx	arm64	arm
fsqrt32	osx	x86_64	x86
fsqrt32	osx	arm64	arm
fsqrt32	win	x86_64	x86
fsqrt32	win	arm64	arm
